From,To,Town,Super (PMS),Diesel (AGO),Kerosene (IK),date_from,date_to,location
15-12-2025,14-01-2026,Maikona,196.99,183.94,167.25,2025-12-15,2026-01-14,Maikona
15-12-2025,14-01-2026,Moiben,184.03,171.34,154.7,2025-12-15,2026-01-14,Moiben
15-12-2025,14-01-2026,Loima,189.72,177.03,160.37,2025-12-15,2026-01-14,Loima
15-12-2025,14-01-2026,Asilong,186.18,173.49,156.84,2025-12-15,2026-01-14,Asilong
15-12-2025,14-01-2026,Rodi Kopany,185.53,172.84,156.18,2025-12-15,2026-01-14,Rodi Kopany
15-12-2025,14-01-2026,Sagana,185.44,172.39,155.68,2025-12-15,2026-01-14,Sagana
15-12-2025,14-01-2026,Bute,198.12,185.07,168.37,2025-12-15,2026-01-14,Bute
15-12-2025,14-01-2026,Kiplombe,184.38,171.68,155.03,2025-12-15,2026-01-14,Kiplombe
15-12-2025,14-01-2026,Kapedo,188.89,176.19,159.54,2025-12-15,2026-01-14,Kapedo
15-12-2025,14-01-2026,Sambalat,186.25,173.56,156.91,2025-12-15,2026-01-14,Sambalat
15-12-2025,14-01-2026,Bomet,185.94,173.24,156.59,2025-12-15,2026-01-14,Bomet
15-12-2025,14-01-2026,Sengera,186.11,173.42,156.77,2025-12-15,2026-01-14,Sengera
15-12-2025,14-01-2026,Wundanji,184.3,171.25,154.56,2025-12-15,2026-01-14,Wundanji
15-12-2025,14-01-2026,Tarbaj,199.9,186.85,170.16,2025-12-15,2026-01-14,Tarbaj
15-12-2025,14-01-2026,Archers Post,188.79,176.09,159.44,2025-12-15,2026-01-14,Archers Post
15-12-2025,14-01-2026,Lomut,188.89,176.19,159.54,2025-12-15,2026-01-14,Lomut
15-12-2025,14-01-2026,Kabartonjo,185.45,172.75,156.1,2025-12-15,2026-01-14,Kabartonjo
15-12-2025,14-01-2026,Kericho,184.89,172.19,155.54,2025-12-15,2026-01-14,Kericho
15-12-2025,14-01-2026,Kaspokwony,185.89,173.2,156.54,2025-12-15,2026-01-14,Kaspokwony
15-12-2025,14-01-2026,Taveta,185.87,172.82,156.12,2025-12-15,2026-01-14,Taveta
15-12-2025,14-01-2026,Isiolo,189.25,176.2,159.51,2025-12-15,2026-01-14,Isiolo
15-12-2025,14-01-2026,Merille,192.36,179.31,162.62,2025-12-15,2026-01-14,Merille
15-12-2025,14-01-2026,Chebara,184.68,171.99,155.34,2025-12-15,2026-01-14,Chebara
15-12-2025,14-01-2026,Ortum,186.77,174.07,157.42,2025-12-15,2026-01-14,Ortum
15-12-2025,14-01-2026,Kaibichbich,185.72,173.02,156.37,2025-12-15,2026-01-14,Kaibichbich
15-12-2025,14-01-2026,Ahero,184.37,171.68,155.03,2025-12-15,2026-01-14,Ahero
15-12-2025,14-01-2026,Namanga,186.82,173.77,157.07,2025-12-15,2026-01-14,Namanga
15-12-2025,14-01-2026,Sipili,188.79,175.74,159.04,2025-12-15,2026-01-14,Sipili
15-12-2025,14-01-2026,Webuye,184.75,172.06,155.4,2025-12-15,2026-01-14,Webuye
15-12-2025,14-01-2026,Moi's Bridge,184.13,171.44,154.78,2025-12-15,2026-01-14,Moi's Bridge
15-12-2025,14-01-2026,Kalemngorok,188.4,175.71,159.06,2025-12-15,2026-01-14,Kalemngorok
15-12-2025,14-01-2026,Magenche,186.69,174.0,157.35,2025-12-15,2026-01-14,Magenche
15-12-2025,14-01-2026,Nyansiongo,185.33,172.63,155.98,2025-12-15,2026-01-14,Nyansiongo
15-12-2025,14-01-2026,Machakos,184.56,171.51,154.81,2025-12-15,2026-01-14,Machakos
15-12-2025,14-01-2026,Matuu,185.7,172.65,155.96,2025-12-15,2026-01-14,Matuu
15-12-2025,14-01-2026,Maralal,187.18,174.48,157.83,2025-12-15,2026-01-14,Maralal
15-12-2025,14-01-2026,Lokichar,189.52,176.82,160.17,2025-12-15,2026-01-14,Lokichar
15-12-2025,14-01-2026,Kabiyet,184.01,171.32,154.67,2025-12-15,2026-01-14,Kabiyet
15-12-2025,14-01-2026,Busia,185.51,172.82,156.17,2025-12-15,2026-01-14,Busia
15-12-2025,14-01-2026,Port Bunyala,185.58,172.89,156.23,2025-12-15,2026-01-14,Port Bunyala
15-11-2025,14-12-2025,Minjila,184.79,171.74,155.05,2025-11-15,2025-12-14,Minjila
15-11-2025,14-12-2025,Liboi,196.14,183.09,166.4,2025-11-15,2025-12-14,Liboi
15-11-2025,14-12-2025,Mogotio,183.11,170.41,153.76,2025-11-15,2025-12-14,Mogotio
15-11-2025,14-12-2025,Kaiboi,184.1,171.41,154.75,2025-11-15,2025-12-14,Kaiboi
15-11-2025,14-12-2025,Eldama Ravine,185.45,172.75,156.1,2025-11-15,2025-12-14,Eldama Ravine
15-11-2025,14-12-2025,Oyugis,185.02,172.33,155.67,2025-11-15,2025-12-14,Oyugis
15-11-2025,14-12-2025,Harambee,184.08,171.38,154.73,2025-11-15,2025-12-14,Harambee
15-11-2025,14-12-2025,Likoni Mainland,181.62,168.57,151.88,2025-11-15,2025-12-14,Likoni Mainland
15-11-2025,14-12-2025,Mwingi,187.47,174.42,157.72,2025-11-15,2025-12-14,Mwingi
15-11-2025,14-12-2025,Maikona,196.99,183.94,167.25,2025-11-15,2025-12-14,Maikona
15-11-2025,14-12-2025,Moiben,184.03,171.34,154.7,2025-11-15,2025-12-14,Moiben
15-11-2025,14-12-2025,Loima,189.72,177.03,160.37,2025-11-15,2025-12-14,Loima
15-11-2025,14-12-2025,Asilong,186.18,173.49,156.84,2025-11-15,2025-12-14,Asilong
15-11-2025,14-12-2025,Rodi Kopany,185.53,172.84,156.18,2025-11-15,2025-12-14,Rodi Kopany
15-11-2025,14-12-2025,Sagana,185.44,172.39,155.68,2025-11-15,2025-12-14,Sagana
15-11-2025,14-12-2025,Bute,198.12,185.07,168.37,2025-11-15,2025-12-14,Bute
15-11-2025,14-12-2025,Kiplombe,184.38,171.68,155.03,2025-11-15,2025-12-14,Kiplombe
15-11-2025,14-12-2025,Kapedo,188.89,176.19,159.54,2025-11-15,2025-12-14,Kapedo
15-11-2025,14-12-2025,Sambalat,186.25,173.56,156.91,2025-11-15,2025-12-14,Sambalat
15-11-2025,14-12-2025,Bomet,185.94,173.24,156.59,2025-11-15,2025-12-14,Bomet
15-11-2025,14-12-2025,Sengera,186.11,173.42,156.77,2025-11-15,2025-12-14,Sengera
15-11-2025,14-12-2025,Wundanji,184.3,171.25,154.56,2025-11-15,2025-12-14,Wundanji
15-11-2025,14-12-2025,Tarbaj,199.9,186.85,170.16,2025-11-15,2025-12-14,Tarbaj
15-11-2025,14-12-2025,Archers Post,188.79,176.09,159.44,2025-11-15,2025-12-14,Archers Post
15-11-2025,14-12-2025,Lomut,188.89,176.19,159.54,2025-11-15,2025-12-14,Lomut
15-11-2025,14-12-2025,Kabartonjo,185.45,172.75,156.1,2025-11-15,2025-12-14,Kabartonjo
15-11-2025,14-12-2025,Kericho,184.89,172.19,155.54,2025-11-15,2025-12-14,Kericho
15-11-2025,14-12-2025,Kaspokwony,185.89,173.2,156.54,2025-11-15,2025-12-14,Kaspokwony
15-11-2025,14-12-2025,Taveta,185.87,172.82,156.12,2025-11-15,2025-12-14,Taveta
15-11-2025,14-12-2025,Isiolo,189.25,176.2,159.51,2025-11-15,2025-12-14,Isiolo
15-11-2025,14-12-2025,Merille,192.36,179.31,162.62,2025-11-15,2025-12-14,Merille
15-11-2025,14-12-2025,Chebara,184.68,171.99,155.34,2025-11-15,2025-12-14,Chebara
15-11-2025,14-12-2025,Ortum,186.77,174.07,157.42,2025-11-15,2025-12-14,Ortum
15-11-2025,14-12-2025,Kaibichbich,185.72,173.02,156.37,2025-11-15,2025-12-14,Kaibichbich
15-11-2025,14-12-2025,Ahero,184.37,171.68,155.03,2025-11-15,2025-12-14,Ahero
15-11-2025,14-12-2025,Namanga,186.82,173.77,157.07,2025-11-15,2025-12-14,Namanga
15-11-2025,14-12-2025,Sipili,188.79,175.74,159.04,2025-11-15,2025-12-14,Sipili
15-11-2025,14-12-2025,Webuye,184.75,172.06,155.4,2025-11-15,2025-12-14,Webuye
15-11-2025,14-12-2025,Moi's Bridge,184.13,171.44,154.78,2025-11-15,2025-12-14,Moi's Bridge
15-11-2025,14-12-2025,Kalemngorok,188.4,175.71,159.06,2025-11-15,2025-12-14,Kalemngorok
15-11-2025,14-12-2025,Magenche,186.69,174.0,157.35,2025-11-15,2025-12-14,Magenche
15-11-2025,14-12-2025,Nyansiongo,185.33,172.63,155.98,2025-11-15,2025-12-14,Nyansiongo
15-11-2025,14-12-2025,Machakos,184.56,171.51,154.81,2025-11-15,2025-12-14,Machakos
